,title,lyrics
0,1 Choppa 2 Choppa*,"[Intro]
Ayy, ayy

[Chorus]
One choppa, two choppa, three choppa, four (goddamn)
Bitch I'm Lil Pump and I just fucked your hoe (brr)
Hunnid on my wrist, Balenciagas on my toes (goddamn)
I'm flexing everyday, call me Lil Pump D Rose (D Rose)

[Verse]
I just fucked your teacher now I'm fuckin' on your sis (your sis)
My diamonds look like Fiji water, I just took a piss (brr)
Took a flight to Cali yeah I'm smoking cannabis (that gas)
Extended grip on my shoes and spend it on my wrist (my wrist)

[Chorus]
One choppa, two choppa, three choppa, four (goddamn)
Bitch I'm Lil Pump and I just fucked your hoe (brr)
Hunnid on my wrist, Balenciagas on my toes (goddamn)
I'm flexing everyday, call me Lil Pump D Rose (D Rose)"
0,30's,"[Verse 1: Lil Pump]
I'ma hit a stain, I'ma hit a stain (esskeetit)
Pull up with a .30, I blow out your brain
50 on my wrist, 80 on my chain (whoo)
Let a nigga run, boy he's getting bang (esskeetit)
Bitch I'm with the shits let my pistol hang (whoop)
Posted on the block with my fucking gang (gang)
If you looking goofy bitch that is a stain (stain)
Got that .30 on me, I blow out your brains (whoo)
Boy you know I'm just hanging with the drillas (whoop)
I don't give a fuck cause you know we killas
All my niggas bustin' we been in the street (whoop)
Running with the poles, bitch I got the heat (brrr)
Let a nigga run up then he gonna see (grrr)
Boy I'm balling hard like a three-peat (yeah)
Bitch I got the mags, tell me where you at (esskeetit, where you at)
Up in my lane put you in body bags (yeah nigga)
Boy I ate your bitch like a Big Mac (what)
Niggas talking down man you way wack (yeah)

[Verse 2: Smokepurpp]
Young nigga be talkin' shit
Young nigga whippin' a brick
Young nigga pushin' the whip
I gotta brick in a whip
I might just fuck on this bitch
I might just go hit a lick
Young nigga still with the shit
Pop .30, hole in a clip
She know young nigga got the brick
She gon' come suck on this dick
Young nigga making a hit
I just got a round in my clip
I got Pump Jetski in the fuckin' cut, double cup
Couple bad bitches pourin' up a cup of the sauce
I got shooters and they popping out the cut
Nigga wassup"
0,70 Nigga,"          
            Lyrics for this song have yet to be released. Please check back once the song has been released.
          
        "
0,Aight,"[Intro: Lil Pump]
Yuh, ouu, ouu, ouu, ouu, ouu
Twerk again
Yuh, yuh, you
I give her Moet

[Chorus: Lil Pump]
I just told the plug meet me at the back door (Lil Pump)
I just told the plug meet me at the back door (Lil Pump)
Aight (aight)
Aight (brr, what, aight)
Aight (brr, brr, aight)
Aight (aight, pew pew)
I just told the plug meet me at the back door (door)
I got a couple pounds and I got a cup of pour (brr, ooh)
Aight (aight)
Aight (aight, ouu)
Aight (aight, ouu)
Aight (aight, ouu)

[Verse 1: Lil Pump]
I just told the plug meet me at the back door (brr)
Tell me what you got, boy, do you got some blow (whatchu got, bro)
Boy, I gotta know
'Cause I got the poles (Lil Pump)
I put it to your neck and that forty gonna talk (brr, brr, pew pew)
I gotta couple bands and I lay 'em on the floor (the floor)
I gotta couple bands, I can throw 'em at your ho
I gotta couple bricks, I hit a couple licks (I did)
I fucked another bitch (brr), I fucked her then I dip (uh)

[Chorus: Lil Pump]
I just told the plug meet me at the back door (brr)
I just told the plug meet me at the back door (Lil Pump)
Aight (aight)
Aight (brr, what, aight)
Aight (brr, brr, aight)
Aight (aight, pew pew)
I just told the plug meet me at the back door (door)
I got a couple pounds and I got a cup of pour (brr)
Aight (aight)
Aight (aight, ouu)
Aight (aight, ouu)
Aight (aight, ouu)

[Verse 2: Smokepurpp]
Smokepurpp
I just told the plug meet me at the back door
I just robbed the plug, met him at the back door
Do the walk, aight (aight)
Let me see (huh), on Skype (okay)
I got a AK and it's sitting on my lap (sitting right there)
I'm in the trap (trap trap), I don't rap (hell naw)
I got another Glock sitting in my hand (ca-ca-ca-ca)
I'm with your bitch (with your bitch), I'm on her ass (I'm on her ass)
Lil Pump said ""boy, I got it lit"" (what's that)
He got a brick, we bust it down a quarter brick (what's that, what's that)
I pull up on your bitch, then I wipe her shit (skrt, skrt)
I got that blow and she sniff it off my dick (yeah, let's go)
Smokepurpp

[Chorus: Lil Pump]
I just told the plug meet me at the back door (brr)
I just told the plug meet me at the back door (Lil Pump)
Aight (aight)
Aight (brr, what, aight)
Aight (brr, brr, aight)
Aight (aight, pew pew)
I just told the plug meet me at the back door (door)
I got a couple pounds and I got a cup of pour (brr)
Aight (aight)
Aight (aight, ouu)
Aight (aight, ouu)
Aight (aight, ouu)"
0,At the Door,"[Intro]
Ooh, Big Head on the beat
Lil Pump
Ooh, ooh, ooh, ooh
This is CB's beats

[Chorus]
I be, I be drippin' head to toe
Everywhere I fuckin' go
I drop forty racks a show
I could go flex on your hoe
I got junkies at the door, I got junkies at the door
I got junkies at the door, I got junkies at the door
I be drippin' head to toe
Everywhere I fuckin' go
I drop forty racks a show
I could go flex on your hoe
I got junkies at the door, I got junkies at the door
I got junkies at the door, I got junkies at the door

[Verse]
I got junkies at the door
I could serve you 2 for 4
I could serve you couple Xans
I could feed your bitch some coke
Yeah, my Uzi automatic, make your grandma do a backflip
Yeah, that .45 do that magic
Yeah, my wrist do that gymnastics
Got a bust down on my wrist
It look like I took a piss
So you cannot tell me shit
Make your auntie do a flip
Yeah, I'm drinkin' Molly water
While I'm fuckin' on your daughter
Bitch, I'm bustin' at your father
Call me Lil Pump Vince Carter

[Chorus]
I be, I be drippin' head to toe
Everywhere I fuckin' go
I drop forty racks a show
I could go flex on your hoe
I got junkies at the door, I got junkies at the door
I got junkies at the door, I got junkies at the door
I be drippin' head to toe
Everywhere I fuckin' go
I drop forty racks a show
I could go flex on your hoe
I got junkies at the door, I got junkies at the door
I got junkies at the door, I got junkies at the door

[Outro]
I be drip, I be drip, I be drip
I be, I be drippin' head to toe
Everywhere I fuckin' go
I drop forty racks a show
I could go flex on your hoe
I got junkies at the door, I got junkies at the door
I got junkies at the door, I got junkies at the door"
0,Back,"[Intro]
Yeah, yeah
2-17 on the track, man
Lil Pump
Yeah, yeah, ooh
Huh, yeah, huh, ayy
Yeah, yeah, yeah

[Chorus: Lil Pump]
All I do is count racks, ooh
Told that bih throw that shit back, ooh
All I do is count racks, ooh
Told that bih throw that shit back, ooh
Throw it back, yeah
Throw it back, yeah
Throw it back, huh
Throw it back, ooh
Throw it back, yeah
Throw it back, yeah
Throw it back, huh
Throw it back, ooh
All I do is count racks, ooh
Told that bih throw that shit back, ooh
All I do is count racks, ooh
Told that bih throw that shit back, ooh
Throw it back, yeah
Throw it back, yeah
Throw it back, huh
Throw it back, ooh
Throw it back, yeah
Throw it back, yeah
Throw it back, huh
Throw it back, ooh

[Verse 1: Lil Pump]
Throw it back, yeah
Throw it back, yeah
I fuck that bitch in a Cadillac, ooh
After that she didn't know how to act, ooh
Back then I used to be quarterback
Go to the bank and I pull out a hunnid racks
Put the AR in the trunk of my Pontiac
Want me fo' show, bitch I'm chargin' 'bout 40 bands
I'm in the trap and I'm shippin' out hella packs (damn)
Diamonds dance so crazy, ooh
Your diamonds so fugazi, ooh
Been sellin' crack since the eighties, yeah
I just bought a brand new Mercedes, huh
In the kitchen whippin' up babies, ooh
In the kitchen whippin' up baby, yeah
And I got a bitch named Hailey, huh
And I got a bitch named Hailey (brr)

[Chorus: Lil Pump & Lil Yachty]
All I do is count racks, ooh
Told that bih throw that shit back, ooh
All I do is count racks, ooh
Told that bih throw that shit back, ooh
Throw it back, yeah
Throw it back, yeah
Throw it back, huh
Throw it back, ooh
Throw it back, yeah
Throw it back, yeah
Throw it back, huh
Throw it back, ooh
All I do is count racks, ooh
Told that bih throw that shit back, ooh
All I do is count racks, ooh
Told that bih throw that shit back, ooh
Throw it back, yeah
Throw it back, yeah
Lil Boat
Throw it back, huh
Throw it back, ooh
Throw it back, yeah
Throw it back, yeah
Throw it back, huh
Throw it back, ooh
Lil Boat, Lil Boat, Lil Boat, Lil Boat, Lil Boat

[Verse 2: Lil Yachty]
Young rich nigga need a dick rub
Hit it from the back, make her jump like a hiccup
Bang, bang, bang, like ya knockin' on the front door
Bitch brown skin like a muhfuckin' fronto
Used to post at the Citgo, uh
Now I got chips in the Citgo, uh
Now I got a wrist like a igloo, huh
And it glow like a disco ball
Bih, bend it over like your shoe's untied
Side bitch still got a iPhone 5
Main bitch still got a iPhone 7
Still caught a Uzi, pistol, chrome MAC-11
Still fuck a nigga main bitch while I got my own bitch
And I better still make it up to Heaven, uh
I'ma have a kid just to dress him up in Gucci
To the seven, goddamn, I'm a reverend
Lil Boat, Lil Pump

[Chorus: Lil Pump]
All I do is count racks, ooh
Told that bih throw that shit back, ooh
All I do is count racks, ooh
Told that bih throw that shit back, ooh
Throw it back, yeah
Throw it back, yeah
Throw it back, huh
Throw it back, ooh
Throw it back, yeah
Throw it back, yeah
Throw it back, huh
Throw it back, ooh
All I do is count racks, ooh
Told that bih throw that shit back, ooh
All I do is count racks, ooh
Told that bih throw that shit back, ooh
Throw it back, yeah
Throw it back, yeah
Throw it back, huh
Throw it back, ooh
Throw it back, yeah
Throw it back, yeah
Throw it back, huh
Throw it back, ooh"
0,Bad Bitch,"          
            Lyrics for this song have yet to be released. Please check back once the song has been released.
          
        "
0,Be Like Me,"[Intro: Lil Pump]
So you know
A lot of people tryna be like me, but, you know...
You just can't be like me
Ooh, Lil Pump
(CB on the beat)
Ooh, yeah

[Chorus: Lil Pump]
Everybody wanna be like me (Ooh, yeah)
Everybody wanna be like me (Huh?)
Everybody wanna be like me
Bust down, big chains and dress fancy (Ooh)
Everybody wanna be like me
Spent 2k last week on a white tee (Ooh)
Everybody wanna be like me
Dropped 10k on my Gucci bedsheets (Ooh, yeah)
Everybody wanna be like me (Ooh, yeah)
Everybody wanna be like me
Everybody wanna be like me (Ooh, yeah)
Everybody wanna be like me
Everybody wanna be like me (Ooh, yeah)
Everybody wanna be like me
Everybody wanna be like me (Ooh)
Bust down, big chains and dress fancy (Yeah, ooh)

[Verse 1: Lil Pump]
Everybody wanna be like Pump (Ooh)
Everybody got fake dreads and love to take drugs (Yeah)
I do this, bitch you do whatever you want (Huh?)
Yes, I'm hella ignorant, I don't give a fuck
And everybody wanna be like Ye (Ye)
Everybody wanna go and smash Kim K (Ooh, yeah)
You can talk shit about me everyday (Day)
But I'm still rich at the end of the day
I take drugs like it's vitamin C
I'm a millionaire, but I don't know how to read (Nope)
I'm a role model that these kids wanna be (Ooh)
I just smashed a pregnant bitch that's overseas (Yeah)
Walk around with my side bitch on a leash (Leash)
I was 13 when I started sippin' lean (Ooh)
Ballin' so hard, I feel like I'm KD (Yeah)
Wear two bust downs, even when I sleep (Sleep)

[Chorus: Lil Pump & Lil Wayne]
Everybody wanna be like me (Ooh, yeah)
Everybody wanna be like me (Huh?)
Everybody wanna be like me
Bust down, big chains and dress fancy (Ooh)
Everybody wanna be like me
Spent 2k last week on a white tee (Ooh, yeah, yeah)
Everybody wanna be like me
Dropped 10k on my Gucci bedsheets (Ooh, yeah, on my Gucci bedsheets)
Everybody wanna be like me (Ooh, yeah, yeah, yeah)
Everybody wanna be like me (Like me)
Everybody wanna be like me (Yeah, yeah, yeah, yeah, ooh, yeah)
Everybody wanna be like me (Everybody wanna be like me)
Everybody wanna be like me (Everybody wanna be like me, ooh, yeah)
Everybody wanna be like me (Everybody wanna be like me)
Everybody wanna be like me (Everybody wanna be, ooh)
Bust down, big chains and dress fancy (Yeah, ooh)

[Verse 2: Lil Wayne & Lil Pump]
I'm me, I'm me
So who you? You not me... urp
Everybody wanna be like Tune
Grow up to be like Tune, throw up the B like Tune
No one can be like Tune, know why? 'Cause he tycoon
And if the shoe fits, wear it, I can't if these not new
Lil' nigga, please, y'all my mini-mes
But the kid is not my son, shout out Billie Jean
You followin' my lead, my chopper isn't clean
And Lil Pump, he got the pump, I got the M-16
My pockets stuffy, they gon' need some antihistamine
Niggas always bit the stee, the bitches never bit the D
I'm pullin' out the facts, so tell your slime relax
And she a catfish, and he a copycat
What the fuck, though? Well, if you must know
I see these look-a-likes, it's kinda sus though, yerr
Young nigga from them hood with a plan
One foot in the street, one foot in the sand
One foot in the cleats, one foot in the Vans
One foot in your ass, one fourth of a Xan
Follow my footsteps, I give you instructions
Swallow, don't belch, you just drunk quintuplets
On my one-of-one shit, I keep it a hundred
Boy, I talk my shit, then wipe my shit with hundreds
You can't stunt like me, rich as fuck like me
Lil' black ass nappy head nigga
Let me shout out India.Arie, and ain't none like me
Mr. Dwayne Carter, only got one ID, yerr
I know that's right, you don't know that life
Stay in your own lane or make me bowl that strike, yerr
Everybody wanna be like me
But there's only one I in my e-y-e (Yeah)
Yeah

[Chorus: Lil Pump, Lil Wayne & Both]
Everybody wanna be like me (Ooh, yeah)
Everybody wanna be like me (Huh?)
Everybody wanna be like me
Bust down, big chains and dress fancy (Ooh)
Everybody wanna be like me
Spent 2k last week on a white tee (Ooh, on a white tee)
Everybody wanna be like me
Dropped 10k on my Gucci bedsheets this week (Ooh, yeah)
Everybody wanna be like me (Ooh, yeah)
Everybody wanna be like me (Yeah, yeah, yeah, yeah)
Everybody wanna be like me (Ooh, yeah)
Everybody wanna be like me (Yeah, yeah, yeah, yeah)
Everybody wanna be like me (Ooh, yeah, like me)
Everybody wanna be like me (Everybody wanna be)
Everybody wanna be like me (Ooh)
Bust down, big chains and dress fancy (Yeah, ooh)"
0,Bitch I Think I Have Swag,"[Chorus: Based King]
Bitch I think I got swag, bitch I think I got swag
Bitch I think I got swag; Louis shirt, tied pants
Bitch I think I got swag, bitch I think I got swag
Bitch I think I got swag, bitch I think I got swag
Bitch I think I got swag, bitch I think I got swag
Bitch I think I got swag; Louis shirt, tied pants
Bitch I think I got swag, bitch I think I got swag
Bitch I think I got swag, bitch I think I got swag

[Verse 1: Lil Pump]
Eleven-year-old rapper, on them sold-my-soul bitches
Got all these jits hatin', cause I'm ballin', no bitches
I started it up, so I put the gas into ignition
Licked your girl for a month with no permission
The best eleven-year-old rapper, I write my own lyrics
I [?] rappers, their careers are finished
...

[Chorus: Based King]
Bitch I think I got swag, bitch I think I got swag
Bitch I think I got swag; Louis shirt, tied pants
Bitch I think I got swag, bitch I think I got swag
Bitch I think I got swag, bitch I think I got swag
Bitch I think I got swag, bitch I think I got swag
Bitch I think I got swag; Louis shirt, tied pants
Bitch I think I got swag, bitch I think I got swag
Bitch I think I got swag, bitch I think I got swag

[Verse 2: Based King]
75 years, so you know that I'm thuggin'
...

[Chorus: Based King]
Bitch I think I made swag, bitch I think I made swag
Bitch I think I made swag; Louis shirt, tiny pants
Bitch I think I made swag, bitch I think I made swag
Bitch I think I made swag, bitch I think I made swag
Bitch I think I made swag, bitch I think I made swag
Bitch I think I made swag; Louis shirt, tiny pants
Bitch I think I made swag, bitch I think I made swag
Bitch I think I made swag, bitch I think I made swag

[Outro: Based King]
Bitches on my fuckin' dick, what"
0,Boppin’,"[Intro: Lil Pump]
Ayy, Lil Pump flexin'
Lil Pump juggin', ay, ay
Boppin' wit a hoe (boppin')
Ay, boy, ooh

[Chorus: Lil Pump]
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (what)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (what)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (what)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (what)
Ouu, shit, ayy
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (yuh)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (what)
Boppin' wit a hoe (ooh)

[Verse 1: Lil Pump]
I be at the store (boppin' wit a hoe)
I be in the trap (brr, boppin' wit a hoe)
I be at church (what, boppin' wit a hoe, brr, boppin' wit a hoe, what, boppin' wit a hoe)
I be in the trap, I be servin' hella crack (crack)
Diamonds on me dancing and I'm flexin' wit the pack (ooh)
I'm real disrespectful and I don't know how to act (I don't)
Grab a bitch nipple, then I slap her in the back
Ay man you already know Lil Pump be that nigga, man
I pull up on yo bitch and I'm flexing
Ayy, boy, ooh

[Chorus: Lil Pump]
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (what)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (what)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (what)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (what)
Ooh, shit, ay
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (yuh)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (what)
Boppin' wit a hoe (ooh)

[Verse 2: Diego Stax]
Yeah
I chill with yo bitch on the west
Talk about me and they come for yo neck
Five stacks and nothing no less
Money, on fuckin' [?] flex ([?] flex)
I'mma go flex on these hoes (flexin')
Yeah, flex on these hoes (flexin')
Mama said flex on these hoes (flex on them ho)
Baby go get you some mo' (mo' yeah)
She pour a fo' in the liter
Her boyfriend want me for the feature
I swear to god he can't fuck with me
Pull up, skrrr, she in love with me
I gotta go get it right now
I gotta go get it right now
Yeah they pushin' them pounds
Bitches be lovin' the sound
Bitches be lovin' the sound
So I'm boppin' with a bitch
Boppin' with a bitch right now, yeah
Boppin' with yo bitch right now, yeah yeah yeah
Whoo, boppin' with a bitch right now, yeah
Boppin' with yo bitch right now, yeah yeah I'm

[Chorus: Lil Pump]
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (what)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (what)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (what)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (what)
Ooh, shit, ay
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (yuh)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (ooh)
Boppin' wit a hoe (what)
Boppin' wit a hoe (ooh)"
